Autor	Tekst	Procesiran tekst
3	pevam danju, pevam noću, pevam sele, što god hoću; i što hoću, to i mogu, samo jedno još ne mogu: da zapevam glasovito, glasovito, silovito, da te dignem sa zemljice, da te metnem međ' zvezdice. kad si zvezda, sele moja, da si među zvezdicama, među svojim, sele moja, milim sestricama.	['pevati', 'danju', 'pevati', 'noću', 'pevati', 'seliti', 'god', 'moći', 'samo', 'jedan', 'još', 'moći', 'zapevati', 'glasovit', 'glasovito', 'silovito', 'dignuti', 'zemljica', 'metnuti', 'međ', 'zvezdica', 'zvezda', 'seliti', 'među', 'zvezdica', 'među', 'svoj', 'seliti', 'mio', 'sestrica']
3	sini, zoro, bela, sini, slatka sele, a ti, sunce, grani kô nikad dosele! ta danas će, danas drago moje doći, brže, dragi, brže, dane mi u noći!“ i zorica sinu, i sunašce granu, ona uze sude, ode niz poljanu. i već eto stiže na tu reku lednu; oko joj se ote, uz maticu glednu. „bože, šta to plovi, i sve amo bliže? ko je, bože, ko je? već do brega stiže!“ glednu — on je, on je! ao njeni jada! „bože, strašni bože!“ — povrisnula mlada. onda zatrepeta, pa s obale klonu, te dragome svome u vodicu tonu.	['sinuti', 'zora', 'beo', 'sinuti', 'sladak', 'seliti', 'sunce', 'grana', 'kô', 'nikad', 'doseliti', 'danas', 'danas', 'drago', 'doći', 'brzo', 'drag', 'brzo', 'dan', 'noć', 'Zorica', 'sin', 'sunašce', 'grana', 'uzeti', 'sud', 'otići', 'niz', 'poljana', 'već', 'eto', 'stizati', 'reka', 'ledna', 'oko', 'oteti', 'uz', 'matica', 'gledan', 'Bog', 'ploviti', 'amo', 'blisko', 'Bog', 'već', 'breg', 'stizati', 'gledan', 'Ao', 'njen', 'jad', 'Bog', 'strašan', 'Bog', 'povrisnuti', 'mlad', 'onda', 'zatrepetati', 'obala', 'klonuti', 'te', 'drag', 'svoj', 'vodica', 'ton']
3	momak ide vragolan, po gori se širi, lep je kâno lepi dan što kroz goru viri. a sa gore kraj potoka stazica se dala, jedna moma milooka tu je rublje prala. al' kad smotri vragolana, povikala seka: „oj stazice, oj tanana, dones' ga meneka!“ viknu moma, pa ti brže za žbun jedan zađe, a momak se čisto trže i čudo ga snađe: „jao mene, i do sada šeta ja po gore, ali ne ču još nikada da slavuji zbore.“ tako reče momak tuna, pa s' mlađan zauja da on vidi iza žbuna tog čudnog slavuja. al' i moma iz zasede poskočila oma — beži, sele — eto bede — beži majci doma! beži moma, manu rublje, beži l' domu svome? sve u goru beži dublje, a momak za njome. beži moma, do kolena none joj se bele, bele none do kolena momka su zanele: „ta da imaš krilo lako da prneš oblaku, ne bi mene, čedo, jako utekla junaku.“ pa se mlađan za njom stisnu, dovati je sade; „jao mene!“ ona vrisnu pa pod lipu pade. o da čudna valjuškanja po zelenoj travi, o da čudna ljuljuškanja, da t' podiđu mravi! laki vetrić osmenu se, listak liska dirnu, beli danak pokrenu se pa kroz lipu virnu. lipa brsne grane širi, šapće danu sjajnu: viri, dane sjajni, viri, ali čuvaj tajnu.	['momak', 'ići', 'vragolan', 'gora', 'širiti', 'lep', 'kâno', 'lep', 'dan', 'kroz', 'gora', 'viriti', 'gore', 'kraj', 'potok', 'stazica', 'dati', 'jedan', 'moma', 'milooka', 'rublje', 'prati', 'smotra', 'vragolan', 'povikati', 'seka', 'oj', 'stazica', 'oj', 'tanan', 'doneti', 'menekati', 'viknuti', 'moma', 'brzo', 'žbun', 'jedan', 'zaći', 'momak', 'čisto', 'trg', 'čudo', 'snaći', 'jao', 'sada', 'šetati', 'gore', 'čuti', 'još', 'nikada', 'slavuj', 'zboriti', 'tako', 'reći', 'momak', 'tuna', 'Mlađan', 'zauja', 'videti', 'iza', 'žbun', 'čudan', 'slavuj', 'moma', 'zaseda', 'poskočiti', 'om', 'bežati', 'seliti', 'eto', 'beda', 'bežati', 'majka', 'doma', 'bežati', 'moma', 'mana', 'rublje', 'bežati', 'dom', 'svoj', 'gora', 'bežati', 'duboko', 'momak', 'bežati', 'moma', 'koleno', 'nona', 'beo', 'beo', 'nona', 'koleno', 'momak', 'zaneti', 'imati', 'krilo', 'lako', 'prneti', 'oblak', 'čedo', 'jako', 'uteći', 'junak', 'Mlađan', 'stisnuti', 'dovati', 'saditi', 'jao', 'vrisnuti', 'pod', 'lipa', 'pad', 'čudan', 'valjuškanje', 'zelen', 'trava', 'čudan', 'ljuljuškanje', 'T', 'podići', 'mrav', 'lak', 'vetrić', 'osmeniti', 'listak', 'liska', 'dirnuti', 'beo', 'danak', 'pokrenuti', 'kroz', 'lipa', 'virnuti', 'lipa', 'brsan', 'grana', 'širiti', 'šaptati', 'dan', 'sjajan', 'viriti', 'dan', 'sjajan', 'viriti', 'čuvati', 'tajna']
3	gde si dušo, gde si hrano, gde si danče mio? gde si sunce ogrejano, gde si do sad bio? ta sinoć se tebi mlada baš zacelo nada'. sunce zađe - pade tama - a ja ostah sama. ala ljubiš moje lane, ala grliš slavno. grli, ljubi dok ne svane - ta već nisi davno! već nedelja dana prođe kako mi ne dođe… jao zlato tako t' boga ta kako si moga'?	['gde', 'duša', 'gde', 'hrana', 'gde', 'danak', 'mio', 'gde', 'sunce', 'ogrejati', 'gde', 'sad', 'sinoć', 'mlad', 'baš', 'zacelo', 'nadati', 'sunce', 'zaći', 'pad', 'tama', 'ostati', 'sam', 'ala', 'ljubiti', 'lan', 'ala', 'grliti', 'slavan', 'grliti', 'ljubiti', 'dok', 'svanuti', 'već', 'davno', 'već', 'nedelja', 'dan', 'proći', 'kako', 'doći', '…', 'jao', 'zlato', 'tako', 'T', 'bog', 'kako']
4	ima neka tajna veza, za sve ljude zakon krut, njome čovek sebe veže, kada bira neki put. ima neka tajna veza, tajna veza za sve nas, njome čovek sebe veže kada traži duši spas. sidro koje lađu čuva da ne bude buri plen, tone skupa sa tom lađom, jer je ono deo njen.	['imati', 'neki', 'tajna', 'veza', 'čovek', 'zakon', 'krut', 'čovek', 'vezati', 'kada', 'birati', 'neki', 'put', 'imati', 'neki', 'tajna', 'veza', 'tajna', 'veza', 'čovek', 'vezati', 'kada', 'tražiti', 'duša', 'spas', 'sidro', 'koji', 'lađa', 'čuvati', 'bura', 'plen', 'tona', 'skupa', 'lađa', 'jer', 'deo', 'njen']
4	ljubav nema bolje dane, sve je sad i nikad više, sve što iza toga dođe dođe samo da nju zbriše. ljubav nema bolje dane, nema sutra nema juče, to je škola za ludake koji malo teže uče. ljubav nema bolje dane, sama kreće, sama stane, sama pali, sama gasi, nas uništi sebe spasi, nemoj da joj brojiš mane ljubav nema bolje dane.	['ljubav', 'nemati', 'dobar', 'dan', 'sad', 'nikad', 'mnogo', 'iza', 'doći', 'doći', 'samo', 'zbrisati', 'ljubav', 'nemati', 'dobar', 'dan', 'nemati', 'sutra', 'nemati', 'juče', 'škola', 'ludak', 'koji', 'malo', 'teško', 'učiti', 'ljubav', 'nemati', 'dobar', 'dan', 'sam', 'kretati', 'sam', 'stati', 'sam', 'paliti', 'sam', 'gasiti', 'uništiti', 'spasiti', 'moći', 'brojati', 'mana', 'ljubav', 'nemati', 'dobar', 'dan']
4	patio sam više nego iko dok se nisam na nevolje sviko, patio sam nije bilo lako onda sam se sredio nekako. možete li zamisliti mene kako patim zbog obične žene, kako trčim i nosim joj cveće, kako molim a ona me neće. uzeo sam koliko je dala, poljubio i rekao hvala. opet vidim crno mi se piše jer sad patim što ne patim više.	['patiti', 'mnogo', 'nego', 'itko', 'dok', 'nevolja', 'sviko', 'patiti', 'lako', 'onda', 'srediti', 'nekako', 'moći', 'zamisliti', 'kako', 'patiti', 'zbog', 'običan', 'žena', 'kako', 'trčati', 'nositi', 'cveće', 'kako', 'moliti', 'uzeti', 'koliko', 'dati', 'poljubiti', 'reći', 'hvala', 'opet', 'videti', 'crn', 'pisati', 'jer', 'sad', 'patiti', 'patiti', 'mnogo']
4	pristao sam da budem igračka, da prodajem dušu vragu svome, da ostane samo crna tačka posle ovde igre kad me mirno slome. pristao sam da budem igračka. mislio sam da se zveri boje ove vatre koja trag mi prati, a sad nosim kako mi ga skroje - po meni se ništa neće zvati. po meni se ništa neće zvati. zablude sam prestao da brojim, nemam kome da se vratim kući. dokle pevam, dotle i postojim, prijatelji bivši i budući pamtite me po pesmama mojim.	['pristati', 'igrački', 'prodavati', 'duša', 'vrag', 'svoj', 'ostati', 'samo', 'crn', 'tačka', 'posle', 'ovde', 'igra', 'mirno', 'slomiti', 'pristati', 'igrački', 'misliti', 'zver', 'boja', 'ovaj', 'vatra', 'koji', 'trag', 'pratiti', 'sad', 'nositi', 'kako', 'skrojiti', 'ništa', 'zvati', 'ništa', 'zvati', 'zabluda', 'prestati', 'brojati', 'nemati', 'vratiti', 'kuća', 'dokle', 'pevati', 'dotle', 'postojati', 'prijatelj', 'bivši', 'budući', 'pamtiti', 'pesma']
4	probudi se, nešto se dešava, nemoj reći da to nisi znao, i tvoja se sudbina rešava, moglo bi ti jednom biti žao. probudi se nešto se dešava, kajaće se ko ovo prespava.. probudi se, nešto se dešava, ne mogu ti jasno reći šta je, ni laž nije, ni istina prava, al osetim dugo će da traje. probudi se nežto se dešava, kajaće se ko ovo prespava.. probudi se nešto se dešava, u prostoru izvan naše volje, od ljubavi neko nas spasava, i govori da je tako bolje. probudi se nešto se dešava, kajaće se ko ovo prespava.	['probuditi', 'nešto', 'dešavati', 'moći', 'reći', 'znati', 'sudbina', 'rešavati', 'moći', 'jednom', 'žao', 'probuditi', 'nešto', 'dešavati', 'kajati', 'ovaj', 'prespavati', 'probuditi', 'nešto', 'dešavati', 'moći', 'jasno', 'reći', 'laž', 'istina', 'pravo', 'osetiti', 'dugo', 'trajati', 'probuditi', 'nežto', 'dešavati', 'kajati', 'ovaj', 'prespavati', 'probuditi', 'nešto', 'dešavati', 'prostor', 'izvan', 'naš', 'volja', 'ljubav', 'netko', 'spasavati', 'govoriti', 'tako', 'dobro', 'probuditi', 'nešto', 'dešavati', 'kajati', 'ovaj', 'prespavati']
4	šta bi dao da si na mom mestu, da te mrze a da ti se dive? šta bi dao za veliku gestu, mesto svoga da tvoj život žive? šta bi dao da možeš ovako, dići ruke a puk da te sledi? da l` bi i ti u svom srcu plak`o kao što se moje srce ledi? budi srećan što si preko puta i što nas strašna provalija deli, jer ovo je mojih pet minuta a pred tobom stoji zivot celi.	['dati', 'mesto', 'mrziti', 'diviti', 'dati', 'velik', 'gesta', 'mesto', 'svoj', 'život', 'živeti', 'dati', 'moći', 'ovako', 'dići', 'ruka', 'puk', 'slediti', 'svoj', 'srce', 'plak', 'srce', 'lediti', 'buditi', 'srećan', 'preko', 'put', 'strašan', 'provalija', 'deliti', 'jer', 'ovaj', 'pet', 'minuta', 'pred', 'stajati', 'život', 'cel']
5	ala je lep ovaj svet, onde potok, ovde cvet; tamo njiva, ovde sad; eno sunca, evo hlad; tamo dunav zlata pun, onde trava, ovde žbun. slavuj peva, ne znam gdi, — ovde srce, ovde ti!	['ala', 'lep', 'ovaj', 'svet', 'onde', 'potok', 'ovde', 'cvet', 'tamo', 'njiva', 'ovde', 'sad', 'eno', 'sunce', 'evo', 'hlad', 'tamo', 'Dunav', 'zlato', 'pun', 'onde', 'trava', 'ovde', 'žbun', 'slavuj', 'pevati', 'znati', 'gdi', 'ovde', 'srce', 'ovde']
5	moj je život tužan pustolina grdna, moje lomne grudi porušena crkva, uvenulo cveće po grobu se njija - k'o da ga je ljuta otrovala zmija; pobegle su tice od suva rastinja... samo još u crkvi mali žižak tinja. kud ćeš, momo, kud ćeš u pustinju ovu? tice, cveće, sunce drugamo te zovu; kud ćeš ovom groblju sahranjena nada, tu je hladno, grozno, kud ćeš tako mlada! kud ćeš ovoj crkvi, stubovi su pali, - veru su i ljubav sobom zatrpali. al' već kad si došla u ovu samoću, vidiš onu hladnu od mramora ploču, tu ureži tvoje nepoznato ime, pa dok žižak gori - nek gori pred njime; a ti bež', il' leti, ako imaš krila, zaboravi da si ikad ovde bila.	['život', 'tužan', 'pustolina', 'grdan', 'loman', 'grudi', 'porušiti', 'crkva', 'uvenuti', 'cveće', 'grob', 'ljut', 'otrovati', 'zmija', 'pobeći', 'ticati', 'suv', 'rastinje', 'samo', 'još', 'crkva', 'mali', 'žižak', 'tinjati', 'kud', 'Momo', 'kud', 'pustinja', 'ovaj', 'ticati', 'cveće', 'sunce', 'drugamo', 'te', 'zvati', 'kud', 'ovaj', 'groblje', 'sahraniti', 'nada', 'hladan', 'grozan', 'kud', 'tako', 'mlad', 'kud', 'ovaj', 'crkva', 'stub', 'pasti', 'vera', 'ljubav', 'zatrpati', 'već', 'doći', 'ovaj', 'samoća', 'videti', 'onaj', 'hladan', 'mramor', 'ploča', 'urezati', 'nepoznat', 'ime', 'dok', 'žižak', 'goreti', 'nek', 'goreti', 'pred', 'bež', 'ili', 'letiti', 'ako', 'imati', 'krilo', 'zaboraviti', 'ikad', 'ovde']
5	ljubim li te... il' me sanak vara, što te udilj uza me dočara; ljubim li te... il' me duša vara, što se udilj s tobom razgovara; ljubim li te... il' me bezum ganja, nemam vida, nemam osećanja; ljubim li te... il' ljubavi nije - što se grli, to su same zmije; ljubim li te... ili mene nema, ili tebe, - nas ni jedno nema; ljubim li te... ili nema sveta, nema sunca, ni rose, ni cveta, već sve tmina što je pak'o mesi, a po tmini vitlaju se besi, a međ njima prabesina spava - moju ljubav u snu izmišljava.	"['ljubiti', 'ili', 'sanak', 'varati', 'udiljati', 'uz', 'dočarati', 'ljubiti', 'ili', 'duša', 'varati', 'udiljati', 'razgovarati', 'ljubiti', 'ili', 'bezum', 'ganjati', 'nemati', 'vid', 'nemati', 'osećanje', 'ljubiti', 'ili', 'ljubav', 'grliti', 'sam', 'zmija', 'ljubiti', 'ili', 'nemati', 'ili', 'jedan', 'nemati', 'ljubiti', 'ili', 'nemati', 'svet', 'nemati', 'sunce', 'rosa', 'cvet', 'već', 'tmina', ""pak'o"", 'mesiti', 'tmina', 'vitlati', 'Besi', 'međ', 'oni', 'prabesina', 'spavati', 'ljubav', 'san', 'izmišljavati']"
5	oj, ljubavi, vidovita vilo, il’ me varaš, il’ je tako bilo! čuj me lane, moje milo cveće, jer mi drugi verovati neće. u daljini, maglovitoj tmini, starih doba u mutnom oblaku, davnih leta pepeljastom zraku — u davnini, tako mi se čini, živeli smo i nas dvoje, srce moje, srce tvoje - jedno drugo volelo je. da li se i tebi isto tako seća, kako j’ naša ljubav rasla sve to veća, a sa njome tuga, sećaš li se, je li? jer se nikad nismo zagrliti smeli, već smo čežnju tu, ljubav našu svu i u grob poneli. a grobove naše rastavila j’ zloba, oh, ta ja se sećam i mog crnog groba, gde sam duge noći, kroz vekove duge, u pepelu čuvô žeravicu tuge, žeravicu bola, ovo srce malo, dok se nije samom bogu dodijalo, pa nas dvoje diže, sastavi nas bliže, da ogrije hladni svet plamom našeg žara, da pokaže kakva je ljubav bila stara.	['oj', 'ljubav', 'vidovit', 'vila', 'ili', 'varati', 'ili', 'tako', 'čuti', 'lane', 'Milo', 'cveće', 'jer', 'drugi', 'verovati', 'daljina', 'maglovit', 'tmina', 'star', 'doba', 'mutan', 'oblak', 'davan', 'let', 'pepeljast', 'zrak', 'davnina', 'tako', 'činiti', 'živeti', 'dvoje', 'srce', 'srce', 'jedan', 'drugi', 'voleti', 'isto', 'tako', 'sećati', 'kako', 'j', 'naš', 'ljubav', 'rasti', 'velik', 'tuga', 'sećati', 'jer', 'nikad', 'zagrliti', 'smesti', 'već', 'čežnja', 'ljubav', 'naš', 'grob', 'poneti', 'grob', 'naš', 'rastaviti', 'j', 'zloba', 'oh', 'sećati', 'crn', 'grob', 'gde', 'dug', 'noć', 'kroz', 'vek', 'dug', 'pepeo', 'čuvô', 'žeravica', 'tuga', 'žeravica', 'bol', 'ovaj', 'srce', 'malo', 'dok', 'sam', 'bog', 'dodijati', 'dvoje', 'dizati', 'sastaviti', 'blisko', 'ogrejati', 'hladan', 'svet', 'plam', 'naš', 'žar', 'pokazati', 'kakav', 'ljubav', 'star']
5	"pođem, klecnem, idem, zastajavam, šetalicu satu zadržavam, jurim, bežim, ka' očajnik kleti, zborim reči, reči bez pameti: ""ne, ne sme umreti!"" vičem bogu: ona je još mlada! vičem pravdi: ona se još nada! anđelima: vi joj srca znate! vičem zemlji: ona nije za te! niotkuda nema mi odjeka... vičem sebi: zar joj nemaš leka?... idem, stanem, ka' očajnik kleti, opet zborim reči bez pameti: ""ne sme nam umreti!"" idem, stanem, pa mi klone glava nad kolevkom gde nam čedo spava. čedo s' budi, pa me gleda nemo; gledamo se, pa se zaplačemo; pa i njemu, ka' očajnik kleti, zborim reči, reči bez pameti: ""ne sme nam umreti!"""	['poći', 'klečnuti', 'ići', 'zastajavati', 'šetalica', 'sat', 'zadržavati', 'juriti', 'bežati', 'k', 'očajnik', 'klet', 'zboriti', 'reč', 'reč', 'bez', 'pamet', 'smeti', 'umreti', 'vikati', 'bog', 'još', 'mlad', 'vikati', 'pravda', 'još', 'nadati', 'anđeo', 'srce', 'znati', 'vikati', 'zemlja', 'niotkuda', 'nemati', 'odjek', 'vikati', 'zar', 'nemati', 'lek', '?...', 'ići', 'stati', 'k', 'očajnik', 'klet', 'opet', 'zboriti', 'reč', 'bez', 'pamet', 'smeti', 'umreti', 'ići', 'stati', 'kloniti', 'glava', 'nad', 'kolevka', 'gde', 'čedo', 'spavati', 'čedo', 'buditi', 'gledati', 'nem', 'gledati', 'zaplakati', 'k', 'očajnik', 'klet', 'zboriti', 'reč', 'reč', 'bez', 'pamet', 'smeti', 'umreti']
5	bolna leži, a nas vara nada: ozdraviće, ozdraviće mlada! naša nada, — sen praznoga sena — posedasmo pored odra njena. mi i senu verujemo slepo. ona moli: „pričaj mi što lepo!“ gladeć’ kosu sa čela joj vrela, smišljam šta bi rado čuti htela. što j’ najlepše rado bih joj nizô: vidiš, dušo, proleće je blizo. a njoj svanu: „proleće je blizo.“ nebo će se zablistati blistom, gora će se zaodenut’ listom, sunce sinut’ kako nije davno, — odazva se: „oh, sunašce slavno!“ oživiće u lugu slavuji, sva će gora pesmom da zabruji. ona šapnu: „oh, mili slavuji!“ dić’ ćemo se fruškogorskom raju, ićićemo sve u zagrljaju, plandovati po onom bukviku. ona reče: „ti ćeš nosit’ smiljku!“ gledaćemo lišće i drveće, bratićemo jagode i cveće, diveći se planinskome miru, stićićemo belom manastiru; pa u hramu, gde su rajski zraci, molićemo s’ bogu — „i božijoj majci.“ znaš u hladu, ispod one grane, bistri izvor, gde smo bili lane, kažu da je iz vilinih dvora, od njeg’ bolnik ozdraviti mora. „ozdraviti mora...“ otkud vidiš na sve četir’ strane daljna mesta, njive i poljane; levo dunav, banat, bačka mila, avala se desno zaplavila, a podalje ti brežuljci sivi, to je bosna — i tu srbin živi. „je li, — srbin živi...“ to je rekla, pa je zadrhtala; oči svela, pa mirno zaspala. gledamo je, šta li, bože, sanja, umorena od tog putovanja. mi stojimo, — mira joj čuvari, gledeć’ lice kako joj se žari, a tom žaru dopiruju hlada uzdisaji našeg praznog nada.	['bolan', 'ležati', 'varati', 'nada', 'ozdraviti', 'ozdraviti', 'mlad', 'naš', 'nada', 'Sen', 'prazan', 'seno', 'posedati', 'pored', 'odar', 'njen', 'seno', 'verovati', 'slepo', 'moliti', 'pričati', 'lepo', 'gladiti', 'kosa', 'čelo', 'vrelo', 'smišljati', 'rado', 'čuti', 'j', 'lepo', 'rado', 'nizô', 'videti', 'duša', 'proleće', 'blizo', 'svanuti', 'proleće', 'blizo', 'nebo', 'zablistati', 'blista', 'gora', 'zaodenut', 'lista', 'sunce', 'sinut', 'kako', 'davno', 'odazvati', 'oh', 'sunašce', 'slavan', 'oživiti', 'lug', 'slavuj', 'gora', 'pesma', 'zabrujati', 'šapnuti', 'oh', 'militi', 'slavuj', 'dić', 'fruškogorski', 'raj', 'ićići', 'zagrljaj', 'plandovati', 'onaj', 'bukvik', 'reći', 'nosit', 'Smiljka', 'gledati', 'lišće', 'drveće', 'bratiti', 'jagoda', 'cveće', 'diviti', 'planinski', 'mir', 'stići', 'beo', 'manastir', 'hram', 'gde', 'rajski', 'zrak', 'moliti', 'bog', 'božiji', 'majka', 'znati', 'hlad', 'ispod', 'onaj', 'grana', 'bistar', 'izvor', 'gde', 'lan', 'kazati', 'vilin', 'dvor', 'bolnik', 'ozdraviti', 'morati', 'ozdraviti', 'morati', 'otkud', 'videti', 'četir', 'strana', 'daljni', 'mesto', 'njiva', 'poljana', 'levo', 'Dunav', 'Banat', 'bački', 'mio', 'avala', 'desno', 'zaplaviti', 'podalje', 'brežuljak', 'siv', 'Bosna', 'srbin', 'živeti', 'srbin', 'živeti', 'reći', 'zadrhtati', 'oko', 'svesti', 'mirno', 'zaspati', 'gledati', 'Bog', 'Sanja', 'umoriti', 'putovanje', 'stajati', 'mir', 'čuvar', 'gledeti', 'lice', 'kako', 'žariti', 'žar', 'dopirovati', 'hlad', 'uzdisaj', 'naš', 'prazan', 'nadati']
